mode,roster_size,repetition,surface_ms,keyed_ms,contract_ms,incremental_ms,incremental_over_keyed_ms,contract_to_surface_ratio,contract_to_keyed_ratio,incremental_share_of_contract,incremental_over_keyed_share_of_contract
synchronize,50,158,0.0231,0.0343,1.0097,0.9866,0.9754,43.709957,29.437318,0.977122,0.96603
synchronize,50,159,0.022,0.0211,0.8313,0.8093,0.8102,37.786364,39.398104,0.973535,0.974618
synchronize,50,160,0.021,0.0187,1.2334,1.2124,1.2147,58.733333,65.957219,0.982974,0.984839
synchronize,50,161,0.0407,0.0373,1.2075,1.1668,1.1702,29.668305,32.372654,0.966294,0.96911
synchronize,50,162,0.0231,0.0201,1.5163,1.4932,1.4962,65.640693,75.437811,0.984766,0.986744
synchronize,50,163,0.0199,0.0458,1.1842,1.1643,1.1384,59.507538,25.855895,0.983195,0.961324
synchronize,50,164,0.0362,0.0316,1.0796,1.0434,1.048,29.823204,34.164557,0.966469,0.97073
synchronize,50,165,0.0366,0.0322,1.0958,1.0592,1.0636,29.939891,34.031056,0.9666,0.970615
synchronize,50,166,0.0335,0.0302,0.8573,0.8238,0.8271,25.591045,28.387417,0.960924,0.964773
synchronize,50,167,0.0224,0.0192,0.7548,0.7324,0.7356,33.696429,39.3125,0.970323,0.974563
synchronize,50,168,0.021,0.02,0.7145,0.6935,0.6945,34.02381,35.725,0.970609,0.972008
synchronize,50,169,0.0203,0.0193,0.9613,0.941,0.942,47.35468,49.80829,0.978883,0.979923
synchronize,50,170,0.0248,0.0217,0.9059,0.8811,0.8842,36.528226,41.746544,0.972624,0.976046
synchronize,50,171,0.0212,0.0211,0.7515,0.7303,0.7304,35.448113,35.616114,0.97179,0.971923
synchronize,50,172,0.0204,0.0194,0.7168,0.6964,0.6974,35.137255,36.948454,0.97154,0.972935
synchronize,50,173,0.0209,0.0201,0.7302,0.7093,0.7101,34.937799,36.328358,0.971378,0.972473
synchronize,50,174,0.0311,0.0384,0.9507,0.9196,0.9123,30.569132,24.757812,0.967287,0.959609
synchronize,50,175,0.031,0.0193,0.7709,0.7399,0.7516,24.867742,39.943005,0.959787,0.974964
synchronize,50,176,0.022,0.0248,0.7711,0.7491,0.7463,35.05,31.092742,0.971469,0.967838
synchronize,50,177,0.021,0.02,0.721,0.7,0.701,34.333333,36.05,0.970874,0.972261
synchronize,50,178,0.0203,0.0199,1.2752,1.2549,1.2553,62.817734,64.080402,0.984081,0.984395
synchronize,50,179,0.0342,0.0355,1.023,0.9888,0.9875,29.912281,28.816901,0.966569,0.965298
synchronize,50,180,0.0213,0.02,0.7925,0.7712,0.7725,37.206573,39.625,0.973123,0.974763
synchronize,50,181,0.0201,0.0194,0.7188,0.6987,0.6994,35.761194,37.051546,0.972037,0.973011
synchronize,50,182,0.0235,0.0189,1.1076,1.0841,1.0887,47.131915,58.603175,0.978783,0.982936
synchronize,50,183,0.0379,0.0212,1.0544,1.0165,1.0332,27.82058,49.735849,0.964055,0.979894
synchronize,50,184,0.0212,0.0191,0.7399,0.7187,0.7208,34.900943,38.73822,0.971347,0.974186
synchronize,50,185,0.0215,0.0191,0.7144,0.6929,0.6953,33.227907,37.403141,0.969905,0.973264
synchronize,50,186,0.0651,0.0422,0.7003,0.6352,0.6581,10.757296,16.594787,0.90704,0.93974
synchronize,50,187,0.0339,0.0316,0.743,0.7091,0.7114,21.917404,23.512658,0.954374,0.95747
synchronize,50,188,0.0412,0.0192,1.1897,1.1485,1.1705,28.876214,61.963542,0.965369,0.983861
synchronize,50,189,0.0394,0.0366,1.2261,1.1867,1.1895,31.119289,33.5,0.967866,0.970149
synchronize,50,190,0.0368,0.0351,1.2107,1.1739,1.1756,32.899457,34.492877,0.969604,0.971009
