scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
stable-identity,full-protocol,50,22,true,1,50,0.04009999999999536
stable-identity,without-stable-id,50,22,false,0,50,0.03889999999998395
state-continuity,replace-all,50,22,false,0,50,0.0020999999999844476
state-continuity,state-preserving-merge,50,22,true,1,50,0.03129999999998745
message-order,sequence-guard,50,22,true,,50,0
message-order,without-sequence-guard,50,22,false,,50,0
transient-empty,empty-payload-guard,50,22,true,,50,0
transient-empty,without-empty-guard,50,22,false,,0,0
stable-identity,full-protocol,50,23,true,1,50,0.03290000000001214
stable-identity,without-stable-id,50,23,false,0,50,0.037800000000004275
state-continuity,replace-all,50,23,false,0,50,0.001999999999981128
state-continuity,state-preserving-merge,50,23,true,1,50,0.02980000000002292
message-order,sequence-guard,50,23,true,,50,0
message-order,without-sequence-guard,50,23,false,,50,0
transient-empty,empty-payload-guard,50,23,true,,50,0
transient-empty,without-empty-guard,50,23,false,,0,0
stable-identity,full-protocol,50,24,true,1,50,0.03509999999999991
stable-identity,without-stable-id,50,24,false,0,50,0.0519999999999925
state-continuity,replace-all,50,24,false,0,50,0.001999999999981128
state-continuity,state-preserving-merge,50,24,true,1,50,0.04959999999999809
message-order,sequence-guard,50,24,true,,50,0
message-order,without-sequence-guard,50,24,false,,50,0
transient-empty,empty-payload-guard,50,24,true,,50,0
transient-empty,without-empty-guard,50,24,false,,0,0
stable-identity,full-protocol,50,25,true,1,50,0.032300000000020646
stable-identity,without-stable-id,50,25,false,0,50,0.04830000000001178
state-continuity,replace-all,50,25,false,0,50,0.004899999999992133
state-continuity,state-preserving-merge,50,25,true,1,50,0.043299999999987904
message-order,sequence-guard,50,25,true,,50,0
message-order,without-sequence-guard,50,25,false,,50,0
transient-empty,empty-payload-guard,50,25,true,,50,0
transient-empty,without-empty-guard,50,25,false,,0,0
stable-identity,full-protocol,50,26,true,1,50,0.041300000000006776
stable-identity,without-stable-id,50,26,false,0,50,0.05669999999997799
state-continuity,replace-all,50,26,false,0,50,0.005400000000008731
state-continuity,state-preserving-merge,50,26,true,1,50,0.035599999999988086
message-order,sequence-guard,50,26,true,,50,0
message-order,without-sequence-guard,50,26,false,,50,0
transient-empty,empty-payload-guard,50,26,true,,50,0
transient-empty,without-empty-guard,50,26,false,,0,0
stable-identity,full-protocol,50,27,true,1,50,0.0408000000000186
stable-identity,without-stable-id,50,27,false,0,50,0.07830000000001291
state-continuity,replace-all,50,27,false,0,50,0.007699999999999818
state-continuity,state-preserving-merge,50,27,true,1,50,0.046699999999987085
message-order,sequence-guard,50,27,true,,50,0
message-order,without-sequence-guard,50,27,false,,50,0
transient-empty,empty-payload-guard,50,27,true,,50,0
transient-empty,without-empty-guard,50,27,false,,0,0
stable-identity,full-protocol,50,28,true,1,50,0.04269999999999641
stable-identity,without-stable-id,50,28,false,0,50,0.06280000000000996
state-continuity,replace-all,50,28,false,0,50,0.0028000000000076852
state-continuity,state-preserving-merge,50,28,true,1,50,0.039700000000010505
message-order,sequence-guard,50,28,true,,50,0
message-order,without-sequence-guard,50,28,false,,50,0
transient-empty,empty-payload-guard,50,28,true,,50,0
transient-empty,without-empty-guard,50,28,false,,0,0
stable-identity,full-protocol,50,29,true,1,50,0.04419999999998936
stable-identity,without-stable-id,50,29,false,0,50,0.06440000000000623
state-continuity,replace-all,50,29,false,0,50,0.0028000000000076852
state-continuity,state-preserving-merge,50,29,true,1,50,0.0438000000000045
message-order,sequence-guard,50,29,true,,50,0
message-order,without-sequence-guard,50,29,false,,50,0
transient-empty,empty-payload-guard,50,29,true,,50,0
transient-empty,without-empty-guard,50,29,false,,0,0
stable-identity,full-protocol,50,30,true,1,50,0.044900000000012597
stable-identity,without-stable-id,50,30,false,0,50,0.05750000000000455
state-continuity,replace-all,50,30,false,0,50,0.0027000000000043656
state-continuity,state-preserving-merge,50,30,true,1,50,0.03900000000001569
message-order,sequence-guard,50,30,true,,50,0
message-order,without-sequence-guard,50,30,false,,50,0
