scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
state-continuity,replace-all,50,26,false,0,50,0.00190000000000623
state-continuity,state-preserving-merge,50,26,true,1,50,0.0969000000000051
message-order,sequence-guard,50,26,true,,50,0
message-order,without-sequence-guard,50,26,false,,50,0
transient-empty,empty-payload-guard,50,26,true,,50,0
transient-empty,without-empty-guard,50,26,false,,0,0
stable-identity,full-protocol,50,27,true,1,50,0.09979999999998768
stable-identity,without-stable-id,50,27,false,0,50,0.10259999999999536
state-continuity,replace-all,50,27,false,0,50,0.0016999999999995907
state-continuity,state-preserving-merge,50,27,true,1,50,0.09559999999999036
message-order,sequence-guard,50,27,true,,50,0
message-order,without-sequence-guard,50,27,false,,50,0
transient-empty,empty-payload-guard,50,27,true,,50,0
transient-empty,without-empty-guard,50,27,false,,0,0
stable-identity,full-protocol,50,28,true,1,50,0.1366999999999905
stable-identity,without-stable-id,50,28,false,0,50,0.13280000000000314
state-continuity,replace-all,50,28,false,0,50,0.0020000000000095497
state-continuity,state-preserving-merge,50,28,true,1,50,0.09739999999999327
message-order,sequence-guard,50,28,true,,50,0
message-order,without-sequence-guard,50,28,false,,50,0
transient-empty,empty-payload-guard,50,28,true,,50,0
transient-empty,without-empty-guard,50,28,false,,0,0
stable-identity,full-protocol,50,29,true,1,50,0.11820000000000164
stable-identity,without-stable-id,50,29,false,0,50,0.10259999999999536
state-continuity,replace-all,50,29,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,29,true,1,50,0.09479999999999222
message-order,sequence-guard,50,29,true,,50,0
message-order,without-sequence-guard,50,29,false,,50,0
transient-empty,empty-payload-guard,50,29,true,,50,0
transient-empty,without-empty-guard,50,29,false,,0,0
stable-identity,full-protocol,50,30,true,1,50,0.1092000000000155
stable-identity,without-stable-id,50,30,false,0,50,0.12069999999999936
state-continuity,replace-all,50,30,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,30,true,1,50,0.09550000000001546
message-order,sequence-guard,50,30,true,,50,0
message-order,without-sequence-guard,50,30,false,,50,0
transient-empty,empty-payload-guard,50,30,true,,50,0
transient-empty,without-empty-guard,50,30,false,,0,0
stable-identity,full-protocol,50,31,true,1,50,0.0981999999999914
stable-identity,without-stable-id,50,31,false,0,50,0.10310000000001196
state-continuity,replace-all,50,31,false,0,50,0.0010999999999796728
state-continuity,state-preserving-merge,50,31,true,1,50,0.10830000000001405
message-order,sequence-guard,50,31,true,,50,0
message-order,without-sequence-guard,50,31,false,,50,0
transient-empty,empty-payload-guard,50,31,true,,50,0
transient-empty,without-empty-guard,50,31,false,,0,0
stable-identity,full-protocol,50,32,true,1,50,0.0998000000000161
stable-identity,without-stable-id,50,32,false,0,50,0.10030000000000427
state-continuity,replace-all,50,32,false,0,50,0.0015000000000213731
state-continuity,state-preserving-merge,50,32,true,1,50,0.23120000000000118
message-order,sequence-guard,50,32,true,,50,0
message-order,without-sequence-guard,50,32,false,,50,0
transient-empty,empty-payload-guard,50,32,true,,50,0
transient-empty,without-empty-guard,50,32,false,,0,0
stable-identity,full-protocol,50,33,true,1,50,0.10290000000000532
stable-identity,without-stable-id,50,33,false,0,50,0.10489999999998645
state-continuity,replace-all,50,33,false,0,50,0.0018999999999778083
state-continuity,state-preserving-merge,50,33,true,1,50,0.09400000000002251
message-order,sequence-guard,50,33,true,,50,0
message-order,without-sequence-guard,50,33,false,,50,0
transient-empty,empty-payload-guard,50,33,true,,50,0
transient-empty,without-empty-guard,50,33,false,,0,0
stable-identity,full-protocol,50,34,true,1,50,0.09749999999999659
stable-identity,without-stable-id,50,34,false,0,50,0.10519999999999641
state-continuity,replace-all,50,34,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,34,true,1,50,0.09409999999999741
message-order,sequence-guard,50,34,true,,50,0
message-order,without-sequence-guard,50,34,false,,50,0
transient-empty,empty-payload-guard,50,34,true,,50,0
transient-empty,without-empty-guard,50,34,false,,0,0
stable-identity,full-protocol,50,35,true,1,50,0.09790000000000987
stable-identity,without-stable-id,50,35,false,0,50,0.11990000000000123
state-continuity,replace-all,50,35,false,0,50,0.002900000000011005
state-continuity,state-preserving-merge,50,35,true,1,50,0.10360000000000014
message-order,sequence-guard,50,35,true,,50,0
message-order,without-sequence-guard,50,35,false,,50,0
transient-empty,empty-payload-guard,50,35,true,,50,0
transient-empty,without-empty-guard,50,35,false,,0,0
stable-identity,full-protocol,50,36,true,1,50,0.11209999999999809
stable-identity,without-stable-id,50,36,false,0,50,0.102800000000002
state-continuity,replace-all,50,36,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,36,true,1,50,0.09409999999999741
message-order,sequence-guard,50,36,true,,50,0
message-order,without-sequence-guard,50,36,false,,50,0
transient-empty,empty-payload-guard,50,36,true,,50,0
transient-empty,without-empty-guard,50,36,false,,0,0
stable-identity,full-protocol,50,37,true,1,50,0.0992000000000246
stable-identity,without-stable-id,50,37,false,0,50,0.1448000000000036
state-continuity,replace-all,50,37,false,0,50,0.00190000000000623
