browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,exact_public_fields,public_field_mismatch_count,public_field_mismatch_examples,contract_o0_pass,contract_o1_pass,contract_o1k_pass,contract_o2_pass,contract_failure_codes,contract_check_ms,receiver_trace_phases,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
chromium,149.0.7827.55,200,7,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,5.803600000001097,message-received|commit-started|commit-succeeded|completion-success,200,2.7999999821186066,82.5,88,533,,
chromium,149.0.7827.55,200,8,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,6.0341000000007625,message-received|commit-started|commit-succeeded|completion-success,200,3.699999988079071,79.09999999403954,85,524,,
chromium,149.0.7827.55,200,9,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.24330000000009,message-received|commit-started|commit-succeeded|completion-success,200,2.5,77.2000000178814,83,514,,
chromium,149.0.7827.55,200,10,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,2.7607000000007247,message-received|commit-started|commit-succeeded|completion-success,200,2.5,70.90000000596046,76,496,,
chromium,149.0.7827.55,500,1,warmup,pass,500,500,0,true,true,0,[],true,true,true,true,,6.234599999999773,message-received|commit-started|commit-succeeded|completion-success,500,5.5999999940395355,114.19999998807907,122,589,,
chromium,149.0.7827.55,500,1,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,9.107699999998658,message-received|commit-started|commit-succeeded|completion-success,500,6.699999988079071,114.40000000596046,124,599,,
chromium,149.0.7827.55,500,2,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,7.197000000000116,message-received|commit-started|commit-succeeded|completion-success,500,6.5,122.80000001192093,132,665,,
chromium,149.0.7827.55,500,3,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,9.660799999997835,message-received|commit-started|commit-succeeded|completion-success,500,6.700000017881393,145.2999999821186,154,699,,
chromium,149.0.7827.55,500,4,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,7.849200000000565,message-received|commit-started|commit-succeeded|completion-success,500,6.800000011920929,132,141,677,,
chromium,149.0.7827.55,500,5,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,8.364700000001903,message-received|commit-started|commit-succeeded|completion-success,500,5.5999999940395355,109.90000000596046,118,601,,
chromium,149.0.7827.55,500,6,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,5.024499999999534,message-received|commit-started|commit-succeeded|completion-success,500,5.9000000059604645,111.19999998807907,119,560,,
chromium,149.0.7827.55,500,7,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,6.32930000000124,message-received|commit-started|commit-succeeded|completion-success,500,5.800000011920929,108.5,117,564,,
chromium,149.0.7827.55,500,8,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,8.503600000000006,message-received|commit-started|commit-succeeded|completion-success,500,5.300000011920929,113,120,592,,
chromium,149.0.7827.55,500,9,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,7.3906000000024505,message-received|commit-started|commit-succeeded|completion-success,500,5.4000000059604645,129.80000001192093,137,649,,
chromium,149.0.7827.55,500,10,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,10.239600000000792,message-received|commit-started|commit-succeeded|completion-success,500,6.5999999940395355,135.40000000596046,144,689,,
chromium,149.0.7827.55,1000,1,warmup,pass,1000,1000,0,true,true,0,[],true,true,true,true,,16.792199999999866,message-received|commit-started|commit-succeeded|completion-success,1000,11.599999994039536,200,219,886,,
chromium,149.0.7827.55,1000,1,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,11.674599999998463,message-received|commit-started|commit-succeeded|completion-success,1000,9.400000005960464,190.2000000178814,202,817,,
chromium,149.0.7827.55,1000,2,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,19.955000000001746,message-received|commit-started|commit-succeeded|completion-success,1000,10,239,251,898,,
chromium,149.0.7827.55,1000,3,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,20.307099999998172,message-received|commit-started|commit-succeeded|completion-success,1000,11.599999994039536,222,236,897,,
chromium,149.0.7827.55,1000,4,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,17.855100000000675,message-received|commit-started|commit-succeeded|completion-success,1000,9.299999982118607,198.7000000178814,216,897,,
chromium,149.0.7827.55,1000,5,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,15.736300000000483,message-received|commit-started|commit-succeeded|completion-success,1000,8.700000017881393,178.40000000596046,193,774,,
chromium,149.0.7827.55,1000,6,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,11.35309999999663,message-received|commit-started|commit-succeeded|completion-success,1000,12.300000011920929,184.59999999403954,200,802,,
chromium,149.0.7827.55,1000,7,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,14.847999999998137,message-received|commit-started|commit-succeeded|completion-success,1000,11.800000011920929,225.40000000596046,246,931,,
chromium,149.0.7827.55,1000,8,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,36.76670000000013,message-received|commit-started|commit-succeeded|completion-success,1000,9.900000005960464,180.90000000596046,193,860,,
chromium,149.0.7827.55,1000,9,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,20.02769999999873,message-received|commit-started|commit-succeeded|completion-success,1000,10.200000017881393,217.69999998807907,235,873,,
chromium,149.0.7827.55,1000,10,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,20.68159999999989,message-received|commit-started|commit-succeeded|completion-success,1000,11.099999994039536,238.90000000596046,254,962,,
firefox,151.0,50,1,warmup,pass,50,50,0,true,true,0,[],true,true,true,true,,0.630700000001525,message-received|commit-started|commit-succeeded|completion-success,50,3,76,80,3606,,
firefox,151.0,50,1,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.3899000000019441,message-received|commit-started|commit-succeeded|completion-success,50,2,71,76,2777,,
firefox,151.0,50,2,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.9717999999993481,message-received|commit-started|commit-succeeded|completion-success,50,2,75,78,2660,,
firefox,151.0,50,3,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.2449999999953434,message-received|commit-started|commit-succeeded|completion-success,50,2,83,85,2725,,
firefox,151.0,50,4,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.7991000000038184,message-received|commit-started|commit-succeeded|completion-success,50,2,76,79,2671,,
firefox,151.0,50,5,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.782999999995809,message-received|commit-started|commit-succeeded|completion-success,50,1,77,79,2643,,
firefox,151.0,50,6,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.0547999999980675,message-received|commit-started|commit-succeeded|completion-success,50,1,85,86,2675,,
firefox,151.0,50,7,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.2632999999987078,message-received|commit-started|commit-succeeded|completion-success,50,2,76,79,2621,,
firefox,151.0,50,8,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.1023999999961234,message-received|commit-started|commit-succeeded|completion-success,50,2,74,77,2638,,
firefox,151.0,50,9,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.873699999996461,message-received|commit-started|commit-succeeded|completion-success,50,1,86,89,2676,,
firefox,151.0,50,10,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.7443999999959487,message-received|commit-started|commit-succeeded|completion-success,50,1,79,81,2659,,
firefox,151.0,200,1,warmup,pass,200,200,0,true,true,0,[],true,true,true,true,,3.4943999999959487,message-received|commit-started|commit-succeeded|completion-success,200,4,105,110,2735,,
firefox,151.0,200,1,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.201699999990524,message-received|commit-started|commit-succeeded|completion-success,200,4,114,119,2793,,
firefox,151.0,200,2,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.628100000001723,message-received|commit-started|commit-succeeded|completion-success,200,3,107,111,2761,,
firefox,151.0,200,3,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.5270000000018626,message-received|commit-started|commit-succeeded|completion-success,200,3,111,117,2738,,
firefox,151.0,200,4,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.3466000000044005,message-received|commit-started|commit-succeeded|completion-success,200,4,104,109,2761,,
firefox,151.0,200,5,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.209900000001653,message-received|commit-started|commit-succeeded|completion-success,200,4,110,115,2749,,
firefox,151.0,200,6,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.040999999997439,message-received|commit-started|commit-succeeded|completion-success,200,3,116,121,2777,,
firefox,151.0,200,7,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.337199999994482,message-received|commit-started|commit-succeeded|completion-success,200,3,108,113,2725,,
firefox,151.0,200,8,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.389100000000326,message-received|commit-started|commit-succeeded|completion-success,200,3,118,122,2764,,
firefox,151.0,200,9,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.6481999999959953,message-received|commit-started|commit-succeeded|completion-success,200,4,119,125,2793,,
firefox,151.0,200,10,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.181800000005751,message-received|commit-started|commit-succeeded|completion-success,200,4,107,112,2780,,
firefox,151.0,500,1,warmup,pass,500,500,0,true,true,0,[],true,true,true,true,,5.928599999999278,message-received|commit-started|commit-succeeded|completion-success,500,6,167,175,2879,,
firefox,151.0,500,1,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,6.231099999989965,message-received|commit-started|commit-succeeded|completion-success,500,6,160,168,2896,,
firefox,151.0,500,2,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,8.408699999999953,message-received|commit-started|commit-succeeded|completion-success,500,6,193,201,2977,,
firefox,151.0,500,3,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,7.73430000001099,message-received|commit-started|commit-succeeded|completion-success,500,6,168,174,2909,,
firefox,151.0,500,4,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,8.75800000000163,message-received|commit-started|commit-succeeded|completion-success,500,6,175,184,2913,,
firefox,151.0,500,5,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,6.816500000000815,message-received|commit-started|commit-succeeded|completion-success,500,6,168,175,2935,,
firefox,151.0,500,6,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,8.19659999999567,message-received|commit-started|commit-succeeded|completion-success,500,5,178,185,2941,,
firefox,151.0,500,7,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,8.092799999998533,message-received|commit-started|commit-succeeded|completion-success,500,6,174,180,2913,,
firefox,151.0,500,8,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,9.382400000002235,message-received|commit-started|commit-succeeded|completion-success,500,6,197,205,2952,,
firefox,151.0,500,9,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,9.578799999988405,message-received|commit-started|commit-succeeded|completion-success,500,6,186,194,2942,,
firefox,151.0,500,10,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,6.388200000015786,message-received|commit-started|commit-succeeded|completion-success,500,5,187,195,2924,,
firefox,151.0,1000,1,warmup,pass,1000,1000,0,true,true,0,[],true,true,true,true,,16.662699999986216,message-received|commit-started|commit-succeeded|completion-success,1000,11,355,370,3310,,
