browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,exact_public_fields,public_field_mismatch_count,public_field_mismatch_examples,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
chromium,149.0.7827.55,200,7,measurement,pass,200,200,0,true,true,0,[],200,2.800000000745058,72.60000000149012,77,456,,
chromium,149.0.7827.55,200,8,measurement,pass,200,200,0,true,true,0,[],200,3.300000000745058,73.40000000223517,79,459,,
chromium,149.0.7827.55,200,9,measurement,pass,200,200,0,true,true,0,[],200,2.7999999970197678,77,82,497,,
chromium,149.0.7827.55,200,10,measurement,pass,200,200,0,true,true,0,[],200,3,79.40000000223517,84,484,,
chromium,149.0.7827.55,200,11,measurement,pass,200,200,0,true,true,0,[],200,3.100000001490116,79.39999999850988,85,501,,
chromium,149.0.7827.55,200,12,measurement,pass,200,200,0,true,true,0,[],200,2.699999999254942,68.30000000074506,73,462,,
chromium,149.0.7827.55,200,13,measurement,pass,200,200,0,true,true,0,[],200,2.599999997764826,70.80000000074506,76,450,,
chromium,149.0.7827.55,200,14,measurement,pass,200,200,0,true,true,0,[],200,2.5,79.39999999850988,84,529,,
chromium,149.0.7827.55,200,15,measurement,pass,200,200,0,true,true,0,[],200,2.5,83.90000000223517,88,512,,
chromium,149.0.7827.55,200,16,measurement,pass,200,200,0,true,true,0,[],200,3.099999997764826,85,90,522,,
chromium,149.0.7827.55,200,17,measurement,pass,200,200,0,true,true,0,[],200,2.899999998509884,75.69999999925494,81,469,,
chromium,149.0.7827.55,200,18,measurement,pass,200,200,0,true,true,0,[],200,2.399999998509884,66.69999999925494,71,462,,
chromium,149.0.7827.55,200,19,measurement,pass,200,200,0,true,true,0,[],200,3.099999997764826,83.40000000223517,89,534,,
chromium,149.0.7827.55,200,20,measurement,pass,200,200,0,true,true,0,[],200,2.600000001490116,75.69999999925494,81,485,,
chromium,149.0.7827.55,200,21,measurement,pass,200,200,0,true,true,0,[],200,2.600000001490116,69.69999999925494,75,478,,
chromium,149.0.7827.55,200,22,measurement,pass,200,200,0,true,true,0,[],200,2.699999999254942,70.70000000298023,76,479,,
chromium,149.0.7827.55,200,23,measurement,pass,200,200,0,true,true,0,[],200,2.400000002235174,68.09999999776483,73,475,,
chromium,149.0.7827.55,200,24,measurement,pass,200,200,0,true,true,0,[],200,2.800000000745058,72.19999999925494,77,486,,
chromium,149.0.7827.55,200,25,measurement,pass,200,200,0,true,true,0,[],200,2.899999998509884,78.5,84,474,,
chromium,149.0.7827.55,200,26,measurement,pass,200,200,0,true,true,0,[],200,3,70.19999999925494,75,480,,
chromium,149.0.7827.55,200,27,measurement,pass,200,200,0,true,true,0,[],200,3.300000000745058,76.30000000074506,82,498,,
chromium,149.0.7827.55,200,28,measurement,pass,200,200,0,true,true,0,[],200,3.300000000745058,76.19999999925494,82,515,,
chromium,149.0.7827.55,200,29,measurement,pass,200,200,0,true,true,0,[],200,2.2999999970197678,70.90000000223517,81,445,,
chromium,149.0.7827.55,200,30,measurement,pass,200,200,0,true,true,0,[],200,3.399999998509884,84.60000000149012,90,496,,
chromium,149.0.7827.55,500,1,warmup,pass,500,500,0,true,true,0,[],500,6.400000002235174,135.59999999776483,146,643,,
chromium,149.0.7827.55,500,1,measurement,pass,500,500,0,true,true,0,[],500,6.399999998509884,119.69999999925494,129,586,,
chromium,149.0.7827.55,500,2,measurement,pass,500,500,0,true,true,0,[],500,6.5,126.39999999850988,136,621,,
chromium,149.0.7827.55,500,3,measurement,pass,500,500,0,true,true,0,[],500,7.099999997764826,127.30000000074506,137,643,,
chromium,149.0.7827.55,500,4,measurement,pass,500,500,0,true,true,0,[],500,8.600000001490116,140.80000000074506,158,738,,
chromium,149.0.7827.55,500,5,measurement,pass,500,500,0,true,true,0,[],500,7.099999997764826,140.90000000223517,151,717,,
chromium,149.0.7827.55,500,6,measurement,pass,500,500,0,true,true,0,[],500,7,169.80000000074506,180,730,,
chromium,149.0.7827.55,500,7,measurement,pass,500,500,0,true,true,0,[],500,9.100000001490116,147.19999999925494,159,779,,
chromium,149.0.7827.55,500,8,measurement,pass,500,500,0,true,true,0,[],500,6.400000002235174,131.80000000074506,141,659,,
chromium,149.0.7827.55,500,9,measurement,pass,500,500,0,true,true,0,[],500,5.800000000745058,123.40000000223517,136,641,,
chromium,149.0.7827.55,500,10,measurement,pass,500,500,0,true,true,0,[],500,7.400000002235174,121.59999999776483,131,600,,
chromium,149.0.7827.55,500,11,measurement,pass,500,500,0,true,true,0,[],500,6.399999998509884,138,147,600,,
chromium,149.0.7827.55,500,12,measurement,pass,500,500,0,true,true,0,[],500,6.100000001490116,128.10000000149012,136,620,,
chromium,149.0.7827.55,500,13,measurement,pass,500,500,0,true,true,0,[],500,7.600000001490116,118.19999999925494,129,654,,
chromium,149.0.7827.55,500,14,measurement,pass,500,500,0,true,true,0,[],500,7.200000002980232,143.29999999701977,153,711,,
chromium,149.0.7827.55,500,15,measurement,pass,500,500,0,true,true,0,[],500,12.399999998509884,170.40000000223517,186,775,,
chromium,149.0.7827.55,500,16,measurement,pass,500,500,0,true,true,0,[],500,6.399999998509884,142.90000000223517,157,772,,
chromium,149.0.7827.55,500,17,measurement,pass,500,500,0,true,true,0,[],500,9.100000001490116,140.89999999850988,153,672,,
chromium,149.0.7827.55,500,18,measurement,pass,500,500,0,true,true,0,[],500,7.5,134.09999999776483,144,651,,
chromium,149.0.7827.55,500,19,measurement,pass,500,500,0,true,true,0,[],500,8,129.40000000223517,140,639,,
chromium,149.0.7827.55,500,20,measurement,pass,500,500,0,true,true,0,[],500,6.199999999254942,139.59999999776483,150,658,,
chromium,149.0.7827.55,500,21,measurement,pass,500,500,0,true,true,0,[],500,5.699999999254942,126.30000000074506,135,620,,
chromium,149.0.7827.55,500,22,measurement,pass,500,500,0,true,true,0,[],500,7,157.30000000074506,168,681,,
chromium,149.0.7827.55,500,23,measurement,pass,500,500,0,true,true,0,[],500,5.899999998509884,125.60000000149012,141,631,,
chromium,149.0.7827.55,500,24,measurement,pass,500,500,0,true,true,0,[],500,6.5,132.09999999776483,147,626,,
chromium,149.0.7827.55,500,25,measurement,pass,500,500,0,true,true,0,[],500,6.5,122.10000000149012,136,638,,
chromium,149.0.7827.55,500,26,measurement,pass,500,500,0,true,true,0,[],500,5.5,119.5,128,600,,
chromium,149.0.7827.55,500,27,measurement,pass,500,500,0,true,true,0,[],500,5.300000000745058,118.10000000149012,126,590,,
chromium,149.0.7827.55,500,28,measurement,pass,500,500,0,true,true,0,[],500,6,120.80000000074506,129,592,,
chromium,149.0.7827.55,500,29,measurement,pass,500,500,0,true,true,0,[],500,6.699999999254942,129.90000000223517,139,584,,
chromium,149.0.7827.55,500,30,measurement,pass,500,500,0,true,true,0,[],500,5.300000000745058,118.19999999925494,126,593,,
chromium,149.0.7827.55,1000,1,warmup,pass,1000,1000,0,true,true,0,[],1000,9.099999997764826,191.10000000149012,209,794,,
chromium,149.0.7827.55,1000,1,measurement,pass,1000,1000,0,true,true,0,[],1000,10.399999998509884,200.40000000223517,215,839,,
chromium,149.0.7827.55,1000,2,measurement,pass,1000,1000,0,true,true,0,[],1000,9,191,208,820,,
chromium,149.0.7827.55,1000,3,measurement,pass,1000,1000,0,true,true,0,[],1000,8.400000002235174,197.29999999701977,215,886,,
chromium,149.0.7827.55,1000,4,measurement,pass,1000,1000,0,true,true,0,[],1000,8.199999999254942,190.30000000074506,206,875,,
chromium,149.0.7827.55,1000,5,measurement,pass,1000,1000,0,true,true,0,[],1000,8,192.60000000149012,210,788,,
chromium,149.0.7827.55,1000,6,measurement,pass,1000,1000,0,true,true,0,[],1000,9.5,194.5,214,825,,
chromium,149.0.7827.55,1000,7,measurement,pass,1000,1000,0,true,true,0,[],1000,8.300000000745058,195,212,797,,
chromium,149.0.7827.55,1000,8,measurement,pass,1000,1000,0,true,true,0,[],1000,9.600000001490116,233.79999999701977,252,866,,
chromium,149.0.7827.55,1000,9,measurement,pass,1000,1000,0,true,true,0,[],1000,7.899999998509884,204.90000000223517,222,857,,
chromium,149.0.7827.55,1000,10,measurement,pass,1000,1000,0,true,true,0,[],1000,8.5,184.60000000149012,200,769,,
chromium,149.0.7827.55,1000,11,measurement,pass,1000,1000,0,true,true,0,[],1000,8.800000000745058,200.30000000074506,218,805,,
chromium,149.0.7827.55,1000,12,measurement,pass,1000,1000,0,true,true,0,[],1000,9.599999997764826,193.20000000298023,213,797,,
chromium,149.0.7827.55,1000,13,measurement,pass,1000,1000,0,true,true,0,[],1000,8.799999997019768,225.10000000149012,243,914,,
chromium,149.0.7827.55,1000,14,measurement,pass,1000,1000,0,true,true,0,[],1000,13.900000002235174,259.5,276,1007,,
chromium,149.0.7827.55,1000,15,measurement,pass,1000,1000,0,true,true,0,[],1000,8.600000001490116,240.60000000149012,258,929,,
chromium,149.0.7827.55,1000,16,measurement,pass,1000,1000,0,true,true,0,[],1000,10.899999998509884,215.20000000298023,236,861,,
chromium,149.0.7827.55,1000,17,measurement,pass,1000,1000,0,true,true,0,[],1000,10.399999998509884,197.10000000149012,217,809,,
chromium,149.0.7827.55,1000,18,measurement,pass,1000,1000,0,true,true,0,[],1000,8.699999999254942,195.5,207,800,,
chromium,149.0.7827.55,1000,19,measurement,pass,1000,1000,0,true,true,0,[],1000,9.400000002235174,203,221,855,,
chromium,149.0.7827.55,1000,20,measurement,pass,1000,1000,0,true,true,0,[],1000,10.800000000745058,202.80000000074506,217,816,,
chromium,149.0.7827.55,1000,21,measurement,pass,1000,1000,0,true,true,0,[],1000,8.5,204.5,222,833,,
chromium,149.0.7827.55,1000,22,measurement,pass,1000,1000,0,true,true,0,[],1000,8.5,184.90000000223517,202,788,,
chromium,149.0.7827.55,1000,23,measurement,pass,1000,1000,0,true,true,0,[],1000,8.800000000745058,177.10000000149012,195,782,,
chromium,149.0.7827.55,1000,24,measurement,pass,1000,1000,0,true,true,0,[],1000,10.199999999254942,239.80000000074506,253,868,,
chromium,149.0.7827.55,1000,25,measurement,pass,1000,1000,0,true,true,0,[],1000,8.800000000745058,181.80000000074506,200,780,,
chromium,149.0.7827.55,1000,26,measurement,pass,1000,1000,0,true,true,0,[],1000,9.300000000745058,196.19999999925494,213,817,,
chromium,149.0.7827.55,1000,27,measurement,pass,1000,1000,0,true,true,0,[],1000,8.700000002980232,200.69999999925494,218,851,,
chromium,149.0.7827.55,1000,28,measurement,pass,1000,1000,0,true,true,0,[],1000,9.899999998509884,201.80000000074506,221,863,,
chromium,149.0.7827.55,1000,29,measurement,pass,1000,1000,0,true,true,0,[],1000,9,227.59999999776483,245,858,,
chromium,149.0.7827.55,1000,30,measurement,pass,1000,1000,0,true,true,0,[],1000,8.899999998509884,191.69999999925494,209,840,,
firefox,151.0,50,1,warmup,pass,50,50,0,true,true,0,[],50,2,87,90,3125,,
firefox,151.0,50,1,measurement,pass,50,50,0,true,true,0,[],50,2,84,87,2673,,
firefox,151.0,50,2,measurement,pass,50,50,0,true,true,0,[],50,1,81,83,2660,,
firefox,151.0,50,3,measurement,pass,50,50,0,true,true,0,[],50,2,88,92,2665,,
firefox,151.0,50,4,measurement,pass,50,50,0,true,true,0,[],50,2,74,77,2591,,
firefox,151.0,50,5,measurement,pass,50,50,0,true,true,0,[],50,1,90,92,2605,,
firefox,151.0,50,6,measurement,pass,50,50,0,true,true,0,[],50,1,81,83,2636,,
firefox,151.0,50,7,measurement,pass,50,50,0,true,true,0,[],50,2,86,90,2686,,
firefox,151.0,50,8,measurement,pass,50,50,0,true,true,0,[],50,2,80,82,2622,,
firefox,151.0,50,9,measurement,pass,50,50,0,true,true,0,[],50,3,84,89,2640,,
firefox,151.0,50,10,measurement,pass,50,50,0,true,true,0,[],50,2,77,81,2714,,
firefox,151.0,50,11,measurement,pass,50,50,0,true,true,0,[],50,2,85,87,2604,,
firefox,151.0,50,12,measurement,pass,50,50,0,true,true,0,[],50,2,105,109,2645,,
firefox,151.0,50,13,measurement,pass,50,50,0,true,true,0,[],50,4,90,95,2732,,
firefox,151.0,50,14,measurement,pass,50,50,0,true,true,0,[],50,2,88,92,2642,,
firefox,151.0,50,15,measurement,pass,50,50,0,true,true,0,[],50,2,90,93,2692,,
firefox,151.0,50,16,measurement,pass,50,50,0,true,true,0,[],50,2,80,85,2704,,
firefox,151.0,50,17,measurement,pass,50,50,0,true,true,0,[],50,2,87,91,2599,,
firefox,151.0,50,18,measurement,pass,50,50,0,true,true,0,[],50,2,89,91,2637,,
firefox,151.0,50,19,measurement,pass,50,50,0,true,true,0,[],50,1,74,77,2676,,
firefox,151.0,50,20,measurement,pass,50,50,0,true,true,0,[],50,2,81,84,2639,,
firefox,151.0,50,21,measurement,pass,50,50,0,true,true,0,[],50,2,74,77,2593,,
firefox,151.0,50,22,measurement,pass,50,50,0,true,true,0,[],50,2,82,85,2615,,
firefox,151.0,50,23,measurement,pass,50,50,0,true,true,0,[],50,2,82,85,2646,,
firefox,151.0,50,24,measurement,pass,50,50,0,true,true,0,[],50,3,78,82,2660,,
firefox,151.0,50,25,measurement,pass,50,50,0,true,true,0,[],50,2,81,84,2597,,
firefox,151.0,50,26,measurement,pass,50,50,0,true,true,0,[],50,2,87,90,2586,,
firefox,151.0,50,27,measurement,pass,50,50,0,true,true,0,[],50,3,86,90,2620,,
firefox,151.0,50,28,measurement,pass,50,50,0,true,true,0,[],50,2,88,92,2655,,
firefox,151.0,50,29,measurement,pass,50,50,0,true,true,0,[],50,2,87,90,2602,,
firefox,151.0,50,30,measurement,pass,50,50,0,true,true,0,[],50,2,82,85,2640,,
firefox,151.0,200,1,warmup,pass,200,200,0,true,true,0,[],200,4,126,132,2708,,
firefox,151.0,200,1,measurement,pass,200,200,0,true,true,0,[],200,4,107,113,2700,,
